Título,Enlace,CVs inscritos,Ubicación,Funciones,Jornada,Experiencia,Tipo contrato,Salario Mínimo,Salario Máximo
Arquitecto/a de datos,https://www.tecnoempleo.com/arquitecto-datos-madrid/data-aws-azure/rf-0fb81891b238e36ea941,57,"Madrid											
											 - España",Arquitecto TIC,Jornada completa,2 años,Indefinido,,
Administrador/a de redes y seguridad,https://www.tecnoempleo.com/administrador-redes-seguridad-hibrido/redes-seguridad/rf-14141a4052cab3293f4c,42,Barcelona (Híbrido),Administrador,Jornada completa,3 años,Indefinido,33000,36000
Ingeniero de Redes,https://www.tecnoempleo.com/ingeniero-redes-barcelona/one-network-lan-wlan-wan-cisco/rf-a9f81c85524f73cd7d40,18,"Barcelona											
											 - España",Ingenieros/Industria,Jornada completa,3-5 años,Indefinido,,
Ingeniero administración sistemas,https://www.tecnoempleo.com/ingeniero-administracion-sistemas-hibrido/windows-linux-azure-aws/rf-decb19fed24f733c2542,27,Pontevedra (Híbrido),Ciberseguridad,Jornada completa,Más de 5 años,Indefinido,,
Administrador/a Sistemas RED HAT Linux,https://www.tecnoempleo.com/administrador-sistemas-red-hat-linux-hibrido/linux-vmware-rhel/rf-90b71ee0623ac3131e4c,15,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,3-5 años,Indefinido,33000,36000
Perfiles SCRUM MASTER junior,https://www.tecnoempleo.com/perfiles-scrum-master-junior-madrid/scrum-master-agile-kanban-lean/rf-c162165e1243d318af4e,94,Madrid (Híbrido),Jefe de Equipo,Jornada completa,3 años,Indefinido,,
Consultor/Administrador Citrix,https://www.tecnoempleo.com/consultor-administrador-citrix-remoto/citrix-xenapp-xendesktop-citrix-work/rf-d10b1ca0722b5394b44e,48,100% En remoto,Administrador,Jornada completa,3-5 años,Indefinido,36000,45000
Programador/a C++ (Remoto),https://www.tecnoempleo.com/programador-c-remoto-remoto/c-c/rf-dd261881926ea39eba41,266,100% En remoto,Programador,Jornada completa,3-5 años,Indefinido,,
"UAB (Unix, Almacenamiento, Backup)",https://www.tecnoempleo.com/uab-unix-almacenamiento-backup-sevilla/redhat-linux-vmware-netapp/rf-19cf1740925373a35c47,78,"Sevilla											
											 - España",Administrador,Jornada completa,2 años,Indefinido,,
Ingeniero/a de pruebas (QA Tester),https://www.tecnoempleo.com/ingeniero-pruebas-qa-tester-remoto/cucumber-jira-xray-jira-phyton-javascri/rf-9ac21d89321883e29d41,121,100% En remoto,Tester,Jornada completa,3 años,Indefinido,39000,39000
Desarrollador .Net,https://www.tecnoempleo.com/desarrollador-net-madrid/net-c/rf-641c19a9420133bcdf4b,61,"Madrid											
											 - España",Analista Programador,Jornada completa,2 años,Indefinido,,
Ingeniero de tecnologia de eventos,https://www.tecnoempleo.com/ingeniero-tecnologia-eventos-barcelona/mac-windows-av-cisco-meraki-logitec/rf-01991df112ccd3cec243,16,"Barcelona											
											 - España",Soporte Técnico,Turno rotatorio,1 año,Temporal,,
Ingeniero de Datos,https://www.tecnoempleo.com/ingeniero-datos-hibrido/aws-scrum-apis/rf-be6a191f1281939e7640,18,Madrid (Híbrido),Big Data,Jornada completa,2 años,Indefinido,39000,39000
Programador/a Remedy,https://www.tecnoempleo.com/programador-remedy-hibrido/remedy/rf-581319cc82145330b54b,4,Madrid (Híbrido),Programador,Jornada completa,3-5 años,Indefinido,30000,36000
Software Engineer,https://www.tecnoempleo.com/software-engineer-barcelona/java-javascript-oop-aws-azure/rf-cc881e1902f5232c4e49,65,"Barcelona											
											 - España",Desarrollador Web,Jornada completa,3-5 años,Indefinido,54000,80000
Técnico SAT informático y electrónico,https://www.tecnoempleo.com/tecnico-sat-informatico-electronico-presencial/windows-msdos-batch-scripts/rf-1a081538c20f33012c45,49,Barcelona (Presencial),Electrónica,Jornada completa,3-5 años,Indefinido,24000,27000
Técnico Helpdesk,https://www.tecnoempleo.com/tecnico-helpdesk-presencial/helpdesk/rf-f6c416c33211d395c542,146,Valencia (Presencial),Helpdesk,Jornada completa,1 año,Indefinido,,
Técnico Informático nivel 1 y 2,https://www.tecnoempleo.com/tecnico-informatico-nivel-1-2-presencial/tcp-ip-active-directory-windows/rf-6758124542fef3b2d343,190,Madrid (Presencial),Redes,Jornada completa,Menos de un año,Indefinido,,
Técnico Helpdesk,https://www.tecnoempleo.com/tecnico-helpdesk-presencial/office-365-windows-server/rf-0eaa1cabe22823cfde40,112,Madrid (Presencial),Helpdesk,Jornada completa,1 año,Indefinido,,
Jefe de proyectos - Desarrollo software,https://www.tecnoempleo.com/jefe-proyectos-desarrollo-software-presencial/scrum-agile-pmp/rf-c0cd1186724153beee40,15,Valladolid (Presencial),Analista Programador,Intensiva Mañana,2 años,Indefinido,27000,39000
Data Engineer,https://www.tecnoempleo.com/data-engineer-hibrido/data-scala-powershell/rf-bee217d3e2ff8336ae49,3,Barcelona (Híbrido),Big Data,Jornada completa,Más de 5 años,Indefinido,,
DevOps,https://www.tecnoempleo.com/devops-remoto/kubernetes/rf-e2f51c23b230631f1047,25,100% En remoto,DevOps,Jornada completa,3-5 años,Indefinido,,
Auditor/a Senior de Seguridad/Pentester,https://www.tecnoempleo.com/auditor-a-senior-de-seguridad-pentester-100-en-rem/owasp-osstmm/rf-1ab0lc47b4701m42c7y7,194,100% En remoto,Ciberseguridad,Jornada completa,3 años,Indefinido,,
Ingeniero/a de Datos (Python + AWS),https://www.tecnoempleo.com/ingeniero-datos-python-aws-remoto/python-aws-sql-postgresql/rf-668e1a7ab21893f86144,42,100% En remoto,Big Data,Jornada completa,2 años,Indefinido,,
QA TESTER (Automático),https://www.tecnoempleo.com/qa-tester-automatico-remoto/selenium-jmeter/rf-6b611178623bf371d546,144,100% En remoto,Tester,Jornada completa,2 años,Indefinido,36000,45000
Tester,https://www.tecnoempleo.com/tester-remoto/xray-alm-jira-confluence/rf-61891419b21a5399784c,70,100% En remoto,Tester,Jornada completa,3 años,Indefinido,,
Ingeniero/a EC&I,https://www.tecnoempleo.com/ingeniero-ec-i-hibrido/siemens-plc-tia-portal-codesys-modbus-tcp-rtu-profi/rf-4bbf1b8b32d103926445,20,Madrid (Híbrido),Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
Técnico Helpdesk,https://www.tecnoempleo.com/tecnico-helpdesk-presencial/windows-directorio-activo-gpos/rf-a7b61124a23ba3031f4e,87,Alicante (Presencial),Helpdesk,Jornada completa,3 años,Indefinido,,
Data Engineer,https://www.tecnoempleo.com/data-engineer-espana-remoto/azure-databricks-snowflake/rf-59e0134a52c4f3c2d24e,18,España-Remoto,Big Data,Jornada completa,3-5 años,Indefinido,45000,60000
Analista Programador/a Cobol - Partenon,https://www.tecnoempleo.com/analista-programador-cobol-partenon-remoto/cobol-partenon-cics-db2-mq/rf-e7e9151152d3739c224c,37,100% En remoto,Analista Programador,Jornada completa,3 años,Indefinido,24000,36000
Analista Programador React + Springboot,https://www.tecnoempleo.com/analista-programador-react-springboot-hibrido/react-spring-java-spring/rf-ba5a19f4e29b138caa44,16,Madrid (Híbrido),Analista Programador,Jornada completa,2 años,Indefinido,,
Especialista en Redes,https://www.tecnoempleo.com/especialista-en-redes-hibrido/redes/rf-b5991c926240536ea046,21,Madrid (Híbrido),Redes,Jornada completa,3-5 años,Indefinido,,
Consultor/a de seguridad IT(Teletrabajo),https://www.tecnoempleo.com/consultor-seguridad-it-teletrabajo-remoto/seguridad-rsa/rf-4cbd1a241232f38e9047,116,100% En remoto,Ciberseguridad,Jornada completa,2 años,Indefinido,36000,42000
Programador Senior,https://www.tecnoempleo.com/programador-senior-remoto/php-angular-mysql-android-laravel-css-bootstrap/rf-0c3e1a2112adb3082b4d,57,100% En remoto,Analista Programador,Jornada completa,3-5 años,Indefinido,30000,39000
C/C++ Senior Engineer,https://www.tecnoempleo.com/c-c-senior-engineer-remoto/c-c-tuxedo-pro-c-java/rf-a7241a40c245636b1146,22,100% En remoto,Programador,Jornada completa,Más de 5 años,Indefinido,,
Ingeniero/a Eficiencia Energética,https://www.tecnoempleo.com/ingeniero-eficiencia-energetica-hibrido/autocad/rf-cf8b11b202415365d444,0,Baleares (Híbrido),Ingenieros/Industria,Jornada completa,2 años,Indefinido,,
Arquitecto/a Técnico,https://www.tecnoempleo.com/arquitecto-tecnico-remoto/kafka-microservicios-microfrontends-big-data/rf-c5871f8d420113dea446,14,100% En remoto,Arquitecto TIC,Jornada completa,3 años,Indefinido,,
Consultor/a Soporte SAP FI,https://www.tecnoempleo.com/consultor-soporte-sap-fi-hibrido/sap-sap-fi/rf-97911b824217b3350649,8,Barcelona (Híbrido),Consultor,Jornada completa,3 años,Indefinido,,
Consultor/a IT,https://www.tecnoempleo.com/consultor-it-bizkaia/consultor-it/rf-2a291baad210c3e3b04d,10,"Vizcaya, Vizcaya -  
											
											Bizkaia											
España",Consultor,Jornada completa,1 año,Indefinido,,
Senior Analista de Integración IT,https://www.tecnoempleo.com/senior-analista-integracion-it-madrid/service-now-o365-azure-api/rf-079a17d192a243ce0441,14,"Madrid											
											 - España",Analista,Jornada completa,3 años,Indefinido,,
Data Architect,https://www.tecnoempleo.com/data-architect-remoto/snowflake-sql/rf-4d011d5412b1c33a9b4a,5,100% En remoto,Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,,
Network Engineer - Collaboration,https://www.tecnoempleo.com/network-engineer-collaboration-barcelona/cisco/rf-abc61012228ce3472343,10,"Barcelona											
											 - España",Redes,Jornada completa,Más de 5 años,Indefinido,,
Business transformation PMO Manager,https://www.tecnoempleo.com/business-transformation-pmo-manager-hibrido/agile-pmo/rf-8b1216b1927c9313c646,19,Madrid (Híbrido),Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,60000,72000
Técnico de Sistemas Junior,https://www.tecnoempleo.com/tecnico-sistemas-junior-hibrido/vmware-azure/rf-ff24102df24b832eaf46,117,Madrid (Híbrido),Técnico de Sistemas,Jornada completa,2 años,A determinar,,
Senior Product Designer Gaming,https://www.tecnoempleo.com/senior-product-designer-gaming-hibrido/product-designer/rf-44c613f942a5335d5c4d,16,Madrid (Híbrido),Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,42000,45000
BI/EPM Consultant,https://www.tecnoempleo.com/bi-epm-consultant-madrid/bi-cpm/rf-a0561760829ad31da64e,2,"Madrid											
											 - España",Consultor,Jornada completa,2 años,Indefinido,27000,36000
Administrador/a de Sistemas IT,https://www.tecnoempleo.com/administrador-sistemas-it-barcelona/sistemas-redes/rf-d188181a528c8356f846,27,"Barcelona											
											 - España",Redes,Jornada completa,2 años,Indefinido,24000,33000
Arquitecto Soluciones (Sector Banca),https://www.tecnoempleo.com/arquitecto-soluciones-sector-banca-hibrido/java-j2ee-microservicios/rf-7e871ee5423c8315b541,3,Madrid (Híbrido),Arquitecto TIC,Jornada completa,Más de 5 años,Indefinido,48000,60000
Director de Tecnología,https://www.tecnoempleo.com/director-tecnologia-remoto/vmware-proxmox-aws-azure/rf-96e2161da23ca3b98246,54,100% En remoto,Jefe de Proyecto,Jornada completa,Más de 5 años,Indefinido,60000,90000
OT Cybersecurity Engineer,https://www.tecnoempleo.com/ot-cybersecurity-engineer-barcelona/ciberseguridad-oscp-gpen-gwapt/rf-fab4197f9262430c784d,12,"Barcelona											
											 - España",Ciberseguridad,Jornada completa,3-5 años,Indefinido,39000,60000
SAP FICO consultant,https://www.tecnoempleo.com/sap-fico-consultant-barcelona/sap-sap-fico/rf-e591192a027c63cc5446,9,"Barcelona											
											 - España",Consultor,Jornada completa,3-5 años,Indefinido,39000,60000
Ingeniero/a de proyectos,https://www.tecnoempleo.com/ingeniero-proyectos-valencia/ingenieria-industrial/rf-533e1a3952f533dcf14e,3,"Valencia											
											 - España",Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
CRM Manager,https://www.tecnoempleo.com/crm-manager-barcelona/marketing/rf-553e138dd23663bec748,18,"Barcelona											
											 - España",Marketing,Jornada completa,3 años,Indefinido,,
C/C++ Software Engineer (H/M),https://www.tecnoempleo.com/c-c-software-engineer-h-m-hibrido/c-c-mysql/rf-3afb1eaef2221378874f,2,Navarra (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Consultor/a SAP FI,https://www.tecnoempleo.com/consultor-sap-fi-madrid/sap-sap-fi/rf-a4bd10f962993367de41,21,"Madrid											
											 - España",Consultor,Jornada completa,3 años,Indefinido,39000,54000
Responsable de Marketing,https://www.tecnoempleo.com/responsable-marketing-presencial/adwords-analytics-seo-sem/rf-ef5f133842f053a11146,20,Madrid (Presencial),Marketing,Jornada completa,3-5 años,Indefinido,30000,36000
Responsable Calidad,https://www.tecnoempleo.com/responsable-calidad-valencia/calidad-iso/rf-b2d61dfca26a53c3b244,2,"Valencia											
											 - España",Sistemas de Calidad,Jornada completa,3-5 años,Indefinido,,
Ingeniero automatización,https://www.tecnoempleo.com/ingeniero-automatizacion-zaragoza/automatizacion-electronica/rf-67a31534c2b8331a2b49,0,"Zaragoza											
											 - España",Electrónica,Jornada completa,Más de 5 años,Indefinido,,
Especialista Seguridad de la Información,https://www.tecnoempleo.com/especialista-seguridad-la-informacion-hibrido/iso-cissp-cisa/rf-aae81945124cf3b20746,20,Madrid (Híbrido),Ciberseguridad,Jornada completa,3 años,Indefinido,,
Director/a Innovación y Desarrollo,https://www.tecnoempleo.com/director-innovacion-desarrollo-barcelona/gestion-proyectos/rf-c4461ab382ed632fee40,15,"Barcelona											
											 - España",Jefe de Equipo,Jornada completa,3 años,Indefinido,,
Information Security Project Senior,https://www.tecnoempleo.com/information-security-project-senior-barcelona/ciberseguridad/rf-8ee416dd926fb366ec49,6,"Barcelona											
											 - España",Ciberseguridad,Jornada completa,3-5 años,Indefinido,60000,74000
Devops Engineer,https://www.tecnoempleo.com/devops-engineer-barcelona/gitlab-ci-docker-slurm-python/rf-c55d15f2624e93f79c4a,8,"Barcelona											
											 - España",DevOps,Jornada completa,2 años,Indefinido,33000,54000
Service Manager,https://www.tecnoempleo.com/service-manager-barcelona/itil-servicenow-remedy/rf-92361c10b2c6a3ba904c,41,"Barcelona											
											 - España",Jefe de Proyecto,Jornada completa,3-5 años,Indefinido,39000,54000
Director/a de Operaciones multisite,https://www.tecnoempleo.com/director-operaciones-multisite-barcelona/lean/rf-43a1117d624ea39ad542,3,"Barcelona											
											 - España",Ingenieros/Industria,Jornada completa,Más de 5 años,Indefinido,60000,80000
C# Software Engineer (H/M),https://www.tecnoempleo.com/c-software-engineer-h-m-hibrido/net-c/rf-5f8a1f48c2bb634d7443,3,Navarra (Híbrido),Programador,Jornada completa,3 años,Indefinido,,
Prácticas: Ingeniería algoritmos GNSS,https://www.tecnoempleo.com/practicas-ingenieria-algoritmos-gnss-hibrido/gnss-python-c/rf-91c01f422224f3763242,18,Madrid (Híbrido),I+D,Jornada completa,Sin Experiencia,Prácticas,,
SHAREPOINT Developer,https://www.tecnoempleo.com/sharepoint-developer-espana/sharepoint-net-c/rf-3d221501a213a3b1154c,9,España,Programador,Jornada completa,3 años,Indefinido,33000,42000
Responsable Ecosistema Web - UNICEF,https://www.tecnoempleo.com/responsable-ecosistema-web-unicef-hibrido/marketing-seo-ux/rf-66ac12a702a81331f146,46,Madrid (Híbrido),Marketing,Jornada completa,Más de 5 años,Indefinido,48000,54000
SAP ARIBA IT Consultant,https://www.tecnoempleo.com/sap-ariba-it-consultant-madrid/sap-ariba/rf-4489190ed2f60326944a,1,"Madrid											
											 - España",Consultor,Jornada completa,3 años,Indefinido,,
Técnico de Soporte,https://www.tecnoempleo.com/tecnico-soporte-hibrido/soporte-workspace-one/rf-e8a21fc86221a3957445,94,Madrid (Híbrido),Soporte Técnico,Jornada completa,2 años,Indefinido,,
Data Engineer (Multinational - Retail),https://www.tecnoempleo.com/data-engineer-multinational-retail-hibrido/etl-bi-python-gcp-aws/rf-31001634a29863ccd147,11,Barcelona (Híbrido),Big Data,Jornada completa,3 años,Indefinido,,
T-SQL Database application Architect,https://www.tecnoempleo.com/t-sql-database-application-architect-remoto/t-sql-sql/rf-9b7d1d2c02b473c6384a,11,100% En remoto,Arquitecto TIC,Jornada completa,Más de 10 años,Indefinido,,
Soporte IT - Inglés,https://www.tecnoempleo.com/soporte-it-ingles-hibrido/windows/rf-40ad19167256e3d0ce4a,18,Madrid (Híbrido),Soporte Técnico,Jornada completa,Más de 5 años,Indefinido,24000,30000
Jefe Proyecto - Arquitecto (Seguridad),https://www.tecnoempleo.com/jefe-proyecto-arquitecto-seguridad-hibrido/ciberseguridad-cgp-azure/rf-0fe316451261b3e98943,1,Madrid (Híbrido),Arquitecto TIC,Jornada completa,3 años,Indefinido,,
Desarrollador Front End,https://www.tecnoempleo.com/desarrollador-front-end-valladolid/ux-ui-html-css-javascript/rf-6fd61f0e52b6034e6d43,37,"Valladolid											
											 - España",Desarrollador Web,Jornada completa,3 años,Indefinido,30000,39000
DevOps (OpenShift),https://www.tecnoempleo.com/devops-openshift-remoto/openshift-tekton-argocd/rf-5d481e6b327873f2a245,7,100% En remoto,DevOps,Jornada completa,Más de 5 años,Indefinido,45000,60000
Desarrollador/a Web 3D (freelance),https://www.tecnoempleo.com/desarrollador-web-3d-freelance-remoto/realidad-aumentada-3d-three-js-playc/rf-5198104b228f03ff034c,11,100% En remoto,Desarrollador Web,Jornada completa,3 años,Freelance/Autónomo,,
Programador/a PLC,https://www.tecnoempleo.com/programador-plc-alicante/plc-rockwell-siemens/rf-9b54106672bf6393a945,6,"Alicante											
											 - España",Ingenieros/Industria,Jornada completa,3 años,Indefinido,,
Junior Project Manager,https://www.tecnoempleo.com/junior-project-manager-hibrido/project-manager/rf-4b351c2f025453251244,14,Barcelona (Híbrido),Jefe de Proyecto,Jornada completa,2 años,Indefinido,,
Tester Selenium,https://www.tecnoempleo.com/tester-selenium-hibrido/selenium-junit-java-jenkins/rf-40601a3bf2f9d3849f4d,31,Madrid (Híbrido),Tester,Jornada completa,1 año,Indefinido,,
